year,n_sectors,mean_ei,median_ei,mean_g_base,median_g_base,mean_g_out_network,median_g_out_network,mean_g_in_network,median_g_in_network,mean_out_strength,mean_in_strength,pagerank_hhi,out_strength_hhi,in_strength_hhi,corr_ei_out_strength,corr_ei_pagerank,corr_g_base_pagerank,corr_g_out_network_pagerank,corr_g_in_network_pagerank,corr_g_base_g_out_network,corr_g_base_g_in_network,total_out_embodied,out_embodied_hhi,total_in_embodied,in_embodied_hhi,mean_out_efficiency,median_out_efficiency,mean_in_efficiency,median_in_efficiency
2000,2160,0.003767256156112265,0.0003451880278542098,7.796900630443549,7.9714223770584285,8.140277629147981,8.207822094015675,6.12567093816015,6.337667207262635,14501.496859958796,14501.496859958796,0.0008042678123764989,0.02846263703086968,0.010241168226546516,0.0214681817198982,-0.0299657326581475,0.25325137863515096,0.1265633048270083,0.2076783807376459,0.7672726131210988,0.6227662089578042,34880922.060885236,0.023810556007072162,34819346.70403303,0.008689551204494876,1.6289732335278977,1.3346946190624016,1.7462330475014374,1.4423406889487855
2001,2221,0.003842895262737893,0.00035922939805769263,7.783537793535335,7.931549378956436,8.122545297807859,8.157873496154497,5.967902610326651,6.141975205166883,15710.640840330836,15710.640840330836,0.0007990356828480249,0.030065953577591124,0.009700644082192436,0.020338469234541627,-0.025911231745292484,0.24358067920159324,0.11902842945362141,0.1982627966208715,0.7169413520007492,0.5719279908271632,38442654.91121457,0.02548264193555965,38375815.22319861,0.008361362999994272,1.6050363908916276,1.3257247187418528,1.7187941291134416,1.4125482457967764
2002,2202,0.0034517223231500275,0.00035382091408831174,7.799175537665202,7.9467196774517515,8.166680067831155,8.20018772282824,6.292937591606051,6.515521441058318,14631.026208756262,14631.02620875626,0.000793542240070668,0.030784855618501625,0.010277426987476863,0.020848982706818047,-0.030304453754993358,0.2525231369266354,0.11225057634984542,0.11707707931591502,0.7386072127699073,0.37835712600362686,32594568.674695622,0.02591232858553534,32551519.447953653,0.009152531207852041,1.581458270581585,1.3268217224181291,1.3320064699113663,1.359277710828603
2003,2252,0.0032568336220460316,0.00031561518925340537,7.915235331285111,8.060987032837733,8.273263855169887,8.310434488883601,6.140846773999269,6.320651080456464,16114.913839317136,16114.913839317136,0.0008004682503258312,0.03139260563177023,0.010067480233447147,0.02003587548581662,-0.02595888269345555,0.24386855467014207,0.11244911209189394,0.20331463835697458,0.7835016113682682,0.577944399135975,39980115.26787571,0.026606864745920226,39918564.33266133,0.008665551164394051,1.6062020567881723,1.320720163813029,1.749368151119371,1.4312726473504398
2004,2270,0.0027040236607272345,0.0002736328277317755,8.038593017843764,8.203724097217897,8.391750459579336,8.422688925723854,6.273038374374065,6.430441901659263,16898.79349888953,16898.79349888953,0.0008142687971610175,0.032422461925522214,0.01015706740713146,0.02011901333623554,-0.025886078276330295,0.2396361139497987,0.11375494249549847,0.1983384612347019,0.7786768674170846,0.5791481533324702,42196342.20691469,0.02753441407708425,42134064.45148685,0.008758909800413637,1.6131426840211145,1.328225417129985,1.7389859631139999,1.426623180538971
2005,2303,0.002256831916543249,0.00024664837203176604,8.161594451214983,8.30754682656914,8.502081711264454,8.540464410745468,6.451279728535112,6.610476869696433,16639.571227126584,16639.571227126584,0.0008128116614484844,0.032999003772730386,0.010100728569407524,0.01661253171849503,-0.024913270500428526,0.23325220333581456,0.10933916419436931,0.19530203975425897,0.7765905764012534,0.5969038378690125,42313648.69474514,0.02780287034622353,42257696.243999474,0.008657616765534611,1.6481051314058426,1.343220184836343,1.7670451975120687,1.4431568721630583
2006,2316,0.0020803419054781823,0.0002228789040964833,8.251232464084286,8.408882000325717,8.586920380330813,8.640140215395345,6.513954839183872,6.663123021287731,17688.657426493322,17688.657426493322,0.0008087127599828599,0.034871279421942146,0.010520166887552865,0.017500266938572456,-0.02317730490623279,0.2396792368430034,0.11739789261400947,0.18422116916957026,0.7680877342248501,0.5771914799125848,45075561.57764283,0.029544904607887973,45018098.56188001,0.00904322914617459,1.6591616105799407,1.3431983618096144,1.7635116465979688,1.4363604135226484
2007,2351,0.001716435006051361,0.00019089145993548133,8.39408084195323,8.563805558796233,8.714634365053726,8.762873035887345,6.678053905141565,6.816816340490253,17932.470468887164,17932.470468887164,0.0007884087158578761,0.03477508201497874,0.010468316257562338,0.013344422379273392,-0.03683708530638111,0.24061850211105457,0.11673463129668579,0.1867884662106247,0.764473976889741,0.5835736031043836,46337659.722677,0.029515435744538385,46277970.6799542,0.009013229832545383,1.6476039021993047,1.3396753956735938,1.7547430118925231,1.427982125934897
2008,2376,0.0014804254129013304,0.00016401709469709297,8.53347282295268,8.715541237577016,8.8187953673955,8.893090579169069,6.801513246379506,6.939338756166277,18248.194784232994,18248.194784232994,0.0007906507448109897,0.034008544331653054,0.010683010909822446,0.012979200421979213,-0.037183137477220664,0.23472476013242383,0.1276080816440229,0.18332778753733078,0.594554322455743,0.5677038066529945,47681767.18981842,0.028847028668578203,47616772.079607815,0.00917814395890328,1.652990003072312,1.3483427091822366,1.7658351006583142,1.4381198007641096
2009,2436,0.001717955234793812,0.00017259434259762592,8.497739350144128,8.664566557521088,8.762394359784672,8.813648426757123,6.334414795670684,6.401653373558164,24829.776066601822,24829.776066601822,0.0008009855260001868,0.10823752824524846,0.011706286194354381,0.010296835401144209,-0.033852531294796734,0.20915197150321868,0.11049202054011095,0.16215939234702897,0.576009568921592,0.38885765197409233,64448735.651856095,0.09437262520628761,64382853.13268748,0.01050688779331932,1.584119910589687,1.3148865588645209,1.604298439255595,1.3530869357585358
2010,2445,0.0015101619397312836,0.00015988743518897144,8.55511595123077,8.741040514138387,8.805342237968041,8.882554193944983,6.594054547909803,6.701906848316615,19740.080730603328,19740.080730603328,0.0008054498650600088,0.03914017827311336,0.01111000213976444,0.012748634839465516,-0.032577636074366985,0.20465589432268386,0.11734430036904499,0.18102770439069496,0.5143188494508016,0.4795956105567313,52500310.55924085,0.03384259335220202,52447217.63057084,0.009713348861795774,1.5931225981427133,1.3232666818202221,1.6754499151330404,1.3934931501985692
2011,2459,0.001364420289983522,0.00014483156209453297,8.652176463350049,8.839939124594041,8.90223328717403,8.982044522639049,6.657852628276367,6.736868570958972,20929.80145239278,20929.801452392785,0.0008354116490662273,0.042229592430033214,0.011442976627849334,0.012556183758839481,-0.032099789203510254,0.1957653184885171,0.1090781178017272,0.1681476569777938,0.5033189617597572,0.4792563521485976,55820282.1983604,0.0366214225726218,55768463.28312306,0.01003648612093688,1.6292039413129022,1.3299862313801838,1.7003926890639107,1.4079770885778073
2012,2478,0.0014447327793435335,0.00014773585855990917,8.618911390352698,8.820084645789954,8.907646916284314,8.971103276799019,6.7619535723282285,6.892962378077971,20500.414301220968,20500.414301220968,0.0008198536059467884,0.03924999024870569,0.011968116307149715,0.01254500131938865,-0.03510997542642619,0.1965642999918365,0.1065551196656147,0.15371090712539018,0.581352322297359,0.5663166119221189,55328057.12094061,0.03384929940428397,55304761.86083079,0.010416883706801008,1.6646765031635777,1.342024757373741,1.7448579184452977,1.424755193343846
2013,2479,0.0012690530195994874,0.0001456775945651977,8.628513235067787,8.83411462758779,8.940190058142495,8.997019324701819,6.825429615836352,6.954161854198798,20447.376144216694,20447.376144216694,0.0008169972161411412,0.04082717526933801,0.012687723394771902,0.01701664747186798,-0.04346936791716911,0.21141477964765612,0.11264974133776817,0.1538508148243562,0.6529440806528503,0.5751868742184606,55210017.311676025,0.03521999754857822,55165437.23219478,0.011036769385052913,1.6569640986729564,1.3430638734519809,1.7113488029664863,1.4202477873426869
2014,2518,0.0013252905635727722,0.00014740228003519217,8.60444503048065,8.822345686682418,8.92844462971654,9.009125861523994,6.559270553531222,6.666056867047405,20969.93359746666,20969.93359746666,0.0008670813278823918,0.037276385941653674,0.012399413215169713,0.10405013691713035,-0.0460111715097272,0.21982674749963524,0.11599385074660389,0.16724359407369213,0.47515731513347537,0.522135056896387,57822661.77666224,0.03185850352481415,57805218.42177658,0.010678153900664695,1.7679494290371414,1.3438014265200913,1.7790044224793182,1.4585380922528952
2015,2564,0.0014266910134657258,0.00015171282943248773,8.577597222633523,8.79352173477389,8.831980336271771,8.957184188703245,6.371339851100108,6.458123511959061,21731.892775018343,21731.892775018343,0.0008906863735792876,0.03666705141270323,0.012100065488898982,0.12962622099026258,-0.04256569659305363,0.21294420355861632,0.1283059515627618,0.1700389066363119,0.2960037574972195,0.44482067699136885,60629269.96233632,0.03165672269617591,60577979.22056402,0.010517136655258795,1.709581859705079,1.3266201333973124,1.7529482093616384,1.4406703786204844
2016,2494,0.0012087305991201212,0.00015452478223700766,8.562711035153102,8.77515654222443,8.869780304479828,8.947946044230237,7.0403835899007925,7.143463988936497,18645.014471584764,18645.014471584764,0.0009529947298106921,0.03109605504945416,0.01405473358696404,0.029458984730284205,-0.03568296656952738,0.205148125834441,0.1072435656013129,0.14066052199999265,0.6686802807960593,0.6447377378074519,50921816.06458735,0.026449658496166116,50851510.991830945,0.011946761958458004,1.6854883005084151,1.3497298268676623,1.8853605801124966,1.5276560290332395
