c_bin,ce_bin,c_mean,ce_mean,delta_c_mean,delta_ce_mean,delta_ei_mean,ei_reduction_mean,n,ei_regime
"(0.434, 0.796]","(0.0094, 1.0]",0.5029399168932641,0.19660685722110402,-0.03332690099395853,-0.1365056047043041,9.443481642269307e-07,-9.443481642269307e-07,2183,Q2
"(0.296, 0.356]","(-0.523, -0.255]",0.34725547879070334,-0.29319743520060404,0.006100386313695831,0.027885057979333203,3.1521472219075017e-06,-3.1521472219075017e-06,3991,Q3
"(0.356, 0.365]","(-0.255, -0.214]",0.3603736269959259,-0.23324085494765226,0.006131090719285177,0.027988458159144965,-1.0687862182155773e-06,1.0687862182155773e-06,3976,Q3
"(0.365, 0.374]","(-0.214, -0.173]",0.3689714377170096,-0.19394716960944386,0.005301397992458947,0.021661299021337715,-6.513913665162772e-06,6.513913665162772e-06,3899,Q3
"(0.365, 0.374]","(-0.173, -0.132]",0.37357552744100553,-0.1728325135072677,0.0027171107266308705,0.01238714789178385,-2.0255499145704863e-05,2.0255499145704863e-05,86,Q3
"(0.374, 0.384]","(-0.173, -0.132]",0.37801210609815394,-0.15264624004650484,0.00624846101455162,0.018155751378834725,-1.0489716535010056e-06,1.0489716535010056e-06,3565,Q3
"(0.374, 0.384]","(-0.132, -0.0882]",0.3830848914326003,-0.12941328881281014,0.007245967271324964,0.007764869761285875,-5.479429407903528e-06,5.479429407903528e-06,423,Q3
"(0.384, 0.395]","(-0.173, -0.132]",0.38968765239689257,-0.1550202394473429,0.0037713064216094057,0.016940918987456054,-1.78009785332892e-05,1.78009785332892e-05,38,Q3
"(0.384, 0.395]","(-0.132, -0.0882]",0.3878572042311387,-0.10786155897658702,0.006964629783262556,0.015602647195859218,-7.147345022216167e-06,7.147345022216167e-06,2965,Q3
"(0.384, 0.395]","(-0.0882, -0.0431]",0.39367922415083484,-0.08103040607755109,0.008034521206667661,0.005153677349395347,-4.830332358931858e-06,4.830332358931858e-06,973,Q3
"(0.395, 0.41]","(-0.173, -0.132]",0.40299283086652143,-0.14803972223655473,0.001802601755133653,0.016319207543858506,-1.6365951090251518e-05,1.6365951090251518e-05,60,Q3
"(0.395, 0.41]","(-0.132, -0.0882]",0.40231172050717934,-0.10806589849949085,0.005860507831637941,0.020194038898178546,-1.1263672937484716e-05,1.1263672937484716e-05,105,Q3
"(0.395, 0.41]","(-0.0882, -0.0431]",0.3987591107889603,-0.05925987233710578,0.006527937084350111,0.0034167773839214356,6.664946973084459e-05,-6.664946973084459e-05,2010,Q3
"(0.395, 0.41]","(-0.0431, 0.0192]",0.40574322229464427,-0.02596860122359607,0.003463197625667618,-0.007276501038724449,-3.520947348323519e-06,3.520947348323519e-06,1801,Q3
